Major Category,Subcategory,Keyword,Prompt-Ready Phrase,Tags
Nail Shape,Shape,round nails,rounded nail tips following the natural fingertip curve,nails manicure shape
Nail Shape,Shape,soft square nails,square nail shape with subtly softened corners,nails manicure shape
Nail Shape,Shape,square nails,straight sidewalls with a flat square free edge,nails manicure shape
Nail Shape,Shape,tapered square nails,square free edge with gently tapered sidewalls,nails manicure shape
Nail Shape,Shape,squoval nails,balanced square-oval shape with softened corners,nails manicure shape
Nail Shape,Shape,oval nails,smooth oval silhouette with gently rounded tip,nails manicure shape
Nail Shape,Shape,almond nails,tapered almond silhouette with softly pointed tip,nails manicure shape
Nail Shape,Shape,coffin nails,tapered sidewalls ending in a flat squared tip,nails manicure shape
Nail Shape,Shape,ballerina nails,long tapered ballerina shape with a flat narrow tip,nails manicure shape
Nail Shape,Shape,stiletto nails,long sharply tapered pointed nail shape,nails manicure shape
Nail Shape,Shape,mountain-peak nails,shorter pointed peak shape with symmetrical taper,nails manicure shape
Nail Shape,Shape,lipstick nails,asymmetrical slanted free edge resembling a lipstick bullet,nails manicure shape
Nail Shape,Shape,flare nails,outward-flared sidewalls with a wider free edge,nails manicure shape
Nail Shape,Shape,edge nails,faceted angular nail shape with a central ridge,nails manicure shape
Nail Length,Length,extra-short nails,very short nail length with minimal free edge,nails manicure length
Nail Length,Length,short nails,short practical nail length extending just past the fingertip,nails manicure length
Nail Length,Length,medium-length nails,medium nail length with balanced extension beyond the fingertip,nails manicure length
Nail Length,Length,long nails,long nail length with visibly extended free edge,nails manicure length
Nail Length,Length,extra-long nails,extra-long dramatic nail length with extended proportions,nails manicure length
Nail Color,Color,clear manicure,clear transparent manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,sheer nude manicure,sheer nude manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,milky nude manicure,milky nude manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,beige nude manicure,beige-nude manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,pink nude manicure,pink-nude manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,rose nude manicure,rose-nude manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,taupe manicure,taupe manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,mocha manicure,mocha brown manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,chocolate brown manicure,chocolate-brown manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,espresso brown manicure,espresso-brown manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,soft white manicure,soft white manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,milky white manicure,milky white manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,bright white manicure,bright white manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,black manicure,black manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,charcoal manicure,charcoal gray manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,silver manicure,silver manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,gunmetal manicure,gunmetal gray manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,gold manicure,gold manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,champagne gold manicure,champagne-gold manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,rose gold manicure,rose-gold manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,cherry red manicure,cherry red manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,true red manicure,true red manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,scarlet red manicure,scarlet red manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,crimson manicure,crimson red manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,burgundy manicure,burgundy wine manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,oxblood manicure,deep oxblood manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,coral manicure,coral manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,peach manicure,peach manicure with even color coverage and realistic polished nail surface,nails manicure color polish
Nail Color,Color,blush pink manicure,blush pink manicure with even color coverage and realistic polished nail surface,nails manicure color polish
