Major Category,Subcategory,Keyword,Prompt-Ready Phrase,Tags
Base Hair Colors,Base Tone,jet black hair,jet-black hair with deep dark saturation and minimal visible warmth,hair color
Base Hair Colors,Base Tone,soft black hair,soft black hair with slightly muted dark depth,hair color
Base Hair Colors,Base Tone,blue-black hair,blue-black hair with cool inky reflectance,hair color
Base Hair Colors,Base Tone,dark brown hair,dark-brown hair with clearly readable brunette depth,hair color
Base Hair Colors,Base Tone,medium brown hair,medium-brown hair with balanced brunette depth,hair color
Base Hair Colors,Base Tone,light brown hair,light-brown hair with softly lifted brunette warmth,hair color
Base Hair Colors,Base Tone,chocolate brown hair,chocolate-brown hair with rich warm brunette depth,hair color
Base Hair Colors,Base Tone,espresso brown hair,espresso-brown hair with dark rich neutral-cool depth,hair color
Base Hair Colors,Base Tone,chestnut brown hair,chestnut-brown hair with warm reddish-brown reflectance,hair color
Base Hair Colors,Base Tone,auburn hair,auburn hair with red-brown warmth,hair color
Base Hair Colors,Base Tone,copper hair,copper hair with vivid orange-red reflectance,hair color
Base Hair Colors,Base Tone,ginger hair,ginger hair with natural orange-red warmth,hair color
Base Hair Colors,Base Tone,strawberry blonde hair,strawberry-blonde hair with warm pink-gold reflectance,hair color
Base Hair Colors,Base Tone,dark blonde hair,dark-blonde hair with deeper golden-beige depth,hair color
Base Hair Colors,Base Tone,dirty blonde hair,dirty-blonde hair with muted beige-gold depth,hair color
Base Hair Colors,Base Tone,honey blonde hair,honey-blonde hair with warm golden richness,hair color
Base Hair Colors,Base Tone,golden blonde hair,golden-blonde hair with bright warm yellow-gold reflectance,hair color
Base Hair Colors,Base Tone,beige blonde hair,beige-blonde hair with neutral balanced reflectance,hair color
Base Hair Colors,Base Tone,ash blonde hair,ash-blonde hair with cool smoky reflectance,hair color
Base Hair Colors,Base Tone,platinum blonde hair,platinum-blonde hair with extremely light cool brightness,hair color
Base Hair Colors,Base Tone,silver blonde hair,silver-blonde hair with icy cool reflectance,hair color
Base Hair Colors,Base Tone,gray hair,gray hair with visible silver tonal character,hair color
Base Hair Colors,Base Tone,silver hair,silver hair with metallic cool brightness,hair color
Base Hair Colors,Base Tone,white hair,white hair with near-absence of pigment,hair color
Base Hair Colors,Base Tone,burgundy hair,burgundy hair with deep wine-red coloration,hair color
Base Hair Colors,Base Tone,rose-gold hair,rose-gold hair with soft pink-gold reflectance,hair color
Base Hair Colors,Base Tone,pastel pink hair,pastel-pink hair with softly tinted fashion color,hair color
Base Hair Colors,Base Tone,lavender hair,lavender hair with soft violet fashion color,hair color
Base Hair Colors,Base Tone,blue hair,blue hair with saturated fashion-color intensity,hair color
Base Hair Colors,Base Tone,green hair,green hair with saturated fashion-color intensity,hair color
Base Hair Colors,Base Tone,teal hair,teal hair with blue-green fashion-color intensity,hair color
Hair Color Combinations,Base + Modifier,"jet black hair, with darker roots","jet-black hair with deep dark saturation and minimal visible warmth, darker roots visible at the scalp with lighter color through the lengths",hair color dimensional highlights roots
Hair Color Combinations,Base + Modifier,"jet black hair, with lighter ends","jet-black hair with deep dark saturation and minimal visible warmth, lighter ends through the lower lengths of the hair",hair color dimensional highlights roots
Hair Color Combinations,Base + Modifier,"jet black hair, with face-framing highlights","jet-black hair with deep dark saturation and minimal visible warmth, face-framing highlights brightening the front sections",hair color dimensional highlights roots
Hair Color Combinations,Base + Modifier,"jet black hair, with subtle highlights","jet-black hair with deep dark saturation and minimal visible warmth, subtle highlights adding tonal variation through the hair",hair color dimensional highlights roots
Hair Color Combinations,Base + Modifier,"jet black hair, with chunky highlights","jet-black hair with deep dark saturation and minimal visible warmth, chunky contrasting highlights visibly separated from the base color",hair color dimensional highlights roots
Hair Color Combinations,Base + Modifier,"jet black hair, with lowlights","jet-black hair with deep dark saturation and minimal visible warmth, lowlights deepening selected sections for dimensional contrast",hair color dimensional highlights roots
Hair Color Combinations,Base + Modifier,"jet black hair, with balayage","jet-black hair with deep dark saturation and minimal visible warmth, balayage-style hand-painted tonal transition from deeper roots to lighter lengths",hair color dimensional highlights roots
Hair Color Combinations,Base + Modifier,"jet black hair, with ombre","jet-black hair with deep dark saturation and minimal visible warmth, ombre color transition shifting from darker roots to lighter ends",hair color dimensional highlights roots
Hair Color Combinations,Base + Modifier,"soft black hair, with darker roots","soft black hair with slightly muted dark depth, darker roots visible at the scalp with lighter color through the lengths",hair color dimensional highlights roots
Hair Color Combinations,Base + Modifier,"soft black hair, with lighter ends","soft black hair with slightly muted dark depth, lighter ends through the lower lengths of the hair",hair color dimensional highlights roots
Hair Color Combinations,Base + Modifier,"soft black hair, with face-framing highlights","soft black hair with slightly muted dark depth, face-framing highlights brightening the front sections",hair color dimensional highlights roots
Hair Color Combinations,Base + Modifier,"soft black hair, with subtle highlights","soft black hair with slightly muted dark depth, subtle highlights adding tonal variation through the hair",hair color dimensional highlights roots
Hair Color Combinations,Base + Modifier,"soft black hair, with chunky highlights","soft black hair with slightly muted dark depth, chunky contrasting highlights visibly separated from the base color",hair color dimensional highlights roots
Hair Color Combinations,Base + Modifier,"soft black hair, with lowlights","soft black hair with slightly muted dark depth, lowlights deepening selected sections for dimensional contrast",hair color dimensional highlights roots
