Major Category,Subcategory,Keyword,Prompt-Ready Phrase,Tags
Fabric + Color + Finish,Material Combination,"white cotton jersey, matte finish",white soft matte cotton-jersey fabric with a matte surface finish with minimal reflectivity,fabric material color finish textile
Fabric + Color + Finish,Material Combination,"white cotton jersey, glossy finish",white soft matte cotton-jersey fabric with a glossy surface finish with stronger reflectivity,fabric material color finish textile
Fabric + Color + Finish,Material Combination,"white cotton jersey, brushed finish",white soft matte cotton-jersey fabric with a brushed surface finish with softened diffused texture,fabric material color finish textile
Fabric + Color + Finish,Material Combination,"white cotton jersey, washed finish",white soft matte cotton-jersey fabric with a washed finish with softened lived-in coloration,fabric material color finish textile
Fabric + Color + Finish,Material Combination,"white cotton jersey, distressed finish",white soft matte cotton-jersey fabric with a distressed finish with visible wear character,fabric material color finish textile
Fabric + Color + Finish,Material Combination,"white cotton jersey, heathered finish",white soft matte cotton-jersey fabric with a heathered finish with mixed tonal fibers,fabric material color finish textile
Fabric + Color + Finish,Material Combination,"white cotton jersey, marled finish",white soft matte cotton-jersey fabric with a marled finish with blended multitone yarn appearance,fabric material color finish textile
Fabric + Color + Finish,Material Combination,"white cotton jersey, satin-sheen finish",white soft matte cotton-jersey fabric with a subtle satin-sheen finish with controlled luster,fabric material color finish textile
Fabric + Color + Finish,Material Combination,"black cotton jersey, matte finish",black soft matte cotton-jersey fabric with a matte surface finish with minimal reflectivity,fabric material color finish textile
Fabric + Color + Finish,Material Combination,"black cotton jersey, glossy finish",black soft matte cotton-jersey fabric with a glossy surface finish with stronger reflectivity,fabric material color finish textile
Fabric + Color + Finish,Material Combination,"black cotton jersey, brushed finish",black soft matte cotton-jersey fabric with a brushed surface finish with softened diffused texture,fabric material color finish textile
Fabric + Color + Finish,Material Combination,"black cotton jersey, washed finish",black soft matte cotton-jersey fabric with a washed finish with softened lived-in coloration,fabric material color finish textile
Fabric + Color + Finish,Material Combination,"black cotton jersey, distressed finish",black soft matte cotton-jersey fabric with a distressed finish with visible wear character,fabric material color finish textile
Fabric + Color + Finish,Material Combination,"black cotton jersey, heathered finish",black soft matte cotton-jersey fabric with a heathered finish with mixed tonal fibers,fabric material color finish textile
Fabric + Color + Finish,Material Combination,"black cotton jersey, marled finish",black soft matte cotton-jersey fabric with a marled finish with blended multitone yarn appearance,fabric material color finish textile
Fabric + Color + Finish,Material Combination,"black cotton jersey, satin-sheen finish",black soft matte cotton-jersey fabric with a subtle satin-sheen finish with controlled luster,fabric material color finish textile
Fabric + Color + Finish,Material Combination,"cream cotton jersey, matte finish",cream soft matte cotton-jersey fabric with a matte surface finish with minimal reflectivity,fabric material color finish textile
Fabric + Color + Finish,Material Combination,"cream cotton jersey, glossy finish",cream soft matte cotton-jersey fabric with a glossy surface finish with stronger reflectivity,fabric material color finish textile
Fabric + Color + Finish,Material Combination,"cream cotton jersey, brushed finish",cream soft matte cotton-jersey fabric with a brushed surface finish with softened diffused texture,fabric material color finish textile
Fabric + Color + Finish,Material Combination,"cream cotton jersey, washed finish",cream soft matte cotton-jersey fabric with a washed finish with softened lived-in coloration,fabric material color finish textile
Fabric + Color + Finish,Material Combination,"cream cotton jersey, distressed finish",cream soft matte cotton-jersey fabric with a distressed finish with visible wear character,fabric material color finish textile
Fabric + Color + Finish,Material Combination,"cream cotton jersey, heathered finish",cream soft matte cotton-jersey fabric with a heathered finish with mixed tonal fibers,fabric material color finish textile
Fabric + Color + Finish,Material Combination,"cream cotton jersey, marled finish",cream soft matte cotton-jersey fabric with a marled finish with blended multitone yarn appearance,fabric material color finish textile
Fabric + Color + Finish,Material Combination,"cream cotton jersey, satin-sheen finish",cream soft matte cotton-jersey fabric with a subtle satin-sheen finish with controlled luster,fabric material color finish textile
