Major Category,Subcategory,Keyword,Prompt-Ready Phrase,Tags
Neutrals,White / Black / Gray / Brown,pure white,pure white tone with clearly readable neutral color identity,neutral base classic
Neutrals,White / Black / Gray / Brown,bright white,bright white tone with clearly readable neutral color identity,neutral base classic
Neutrals,White / Black / Gray / Brown,soft white,soft white tone with clearly readable neutral color identity,neutral base classic
Neutrals,White / Black / Gray / Brown,ivory,ivory tone with clearly readable neutral color identity,neutral base classic
Neutrals,White / Black / Gray / Brown,cream,cream tone with clearly readable neutral color identity,neutral base classic
Neutrals,White / Black / Gray / Brown,eggshell,eggshell tone with clearly readable neutral color identity,neutral base classic
Neutrals,White / Black / Gray / Brown,bone,bone tone with clearly readable neutral color identity,neutral base classic
Neutrals,White / Black / Gray / Brown,linen,linen tone with clearly readable neutral color identity,neutral base classic
Neutrals,White / Black / Gray / Brown,oat,oat tone with clearly readable neutral color identity,neutral base classic
Neutrals,White / Black / Gray / Brown,oyster white,oyster white tone with clearly readable neutral color identity,neutral base classic
Neutrals,White / Black / Gray / Brown,off-white,off-white tone with clearly readable neutral color identity,neutral base classic
Neutrals,White / Black / Gray / Brown,chalk white,chalk white tone with clearly readable neutral color identity,neutral base classic
Neutrals,White / Black / Gray / Brown,winter white,winter white tone with clearly readable neutral color identity,neutral base classic
Neutrals,White / Black / Gray / Brown,antique white,antique white tone with clearly readable neutral color identity,neutral base classic
Neutrals,White / Black / Gray / Brown,vanilla,vanilla tone with clearly readable neutral color identity,neutral base classic
Neutrals,White / Black / Gray / Brown,alabaster,alabaster tone with clearly readable neutral color identity,neutral base classic
Neutrals,White / Black / Gray / Brown,jet black,jet black tone with clearly readable neutral color identity,neutral base classic
Neutrals,White / Black / Gray / Brown,true black,true black tone with clearly readable neutral color identity,neutral base classic
Neutrals,White / Black / Gray / Brown,soft black,soft black tone with clearly readable neutral color identity,neutral base classic
Neutrals,White / Black / Gray / Brown,ink black,ink black tone with clearly readable neutral color identity,neutral base classic
Neutrals,White / Black / Gray / Brown,onyx,onyx tone with clearly readable neutral color identity,neutral base classic
Neutrals,White / Black / Gray / Brown,charcoal black,charcoal black tone with clearly readable neutral color identity,neutral base classic
Neutrals,White / Black / Gray / Brown,coal,coal tone with clearly readable neutral color identity,neutral base classic
Neutrals,White / Black / Gray / Brown,ebony,ebony tone with clearly readable neutral color identity,neutral base classic
