Major Category,Subcategory,Keyword,Prompt-Ready Phrase,Tags
Haircuts & Lengths,Core Cuts,buzz cut,very short buzz cut following the natural head shape with an even clipped finish,haircut hairstyle length
Haircuts & Lengths,Core Cuts,induction cut,uniform ultra-short induction cut with minimal visible length,haircut hairstyle length
Haircuts & Lengths,Core Cuts,crew cut,short crew cut with slightly more length on top and tapered sides,haircut hairstyle length
Haircuts & Lengths,Core Cuts,pixie cut,short pixie cut with cropped sides and textured top layers,haircut hairstyle length
Haircuts & Lengths,Core Cuts,long pixie cut,long pixie cut with soft face-framing sections and extra crown length,haircut hairstyle length
Haircuts & Lengths,Core Cuts,bixie cut,bixie haircut blending pixie and bob proportions with short layered movement,haircut hairstyle length
Haircuts & Lengths,Core Cuts,ear-length bob,bob ending around ear level with a compact silhouette,haircut hairstyle length
Haircuts & Lengths,Core Cuts,chin-length bob,chin-length bob with clean jaw-framing ends,haircut hairstyle length
Haircuts & Lengths,Core Cuts,French bob,short French bob around jaw level with softly textured ends,haircut hairstyle length
Haircuts & Lengths,Core Cuts,blunt bob,blunt bob with a strong even perimeter and minimal layering,haircut hairstyle length
Haircuts & Lengths,Core Cuts,A-line bob,A-line bob shorter at the back and progressively longer toward the front,haircut hairstyle length
Haircuts & Lengths,Core Cuts,inverted bob,inverted bob with stacked rear volume and longer front pieces,haircut hairstyle length
Haircuts & Lengths,Core Cuts,asymmetrical bob,asymmetrical bob with one side intentionally longer than the other,haircut hairstyle length
Haircuts & Lengths,Core Cuts,lob,long bob ending around the shoulders or collarbones,haircut hairstyle length
Haircuts & Lengths,Core Cuts,blunt lob,blunt long bob with a strong even perimeter,haircut hairstyle length
Haircuts & Lengths,Core Cuts,layered lob,long bob with visible soft layers and movement,haircut hairstyle length
Haircuts & Lengths,Core Cuts,shag,layered shag haircut with broken texture and crown movement,haircut hairstyle length
Haircuts & Lengths,Core Cuts,short shag,short shag with choppy layers and crown volume,haircut hairstyle length
Haircuts & Lengths,Core Cuts,long shag,long shag with cascading textured layers,haircut hairstyle length
Haircuts & Lengths,Core Cuts,wolf cut,wolf cut combining shaggy crown layers with longer tapered lengths,haircut hairstyle length
Haircuts & Lengths,Core Cuts,butterfly cut,butterfly haircut with voluminous face-framing layers and longer lower lengths,haircut hairstyle length
Haircuts & Lengths,Core Cuts,octopus cut,octopus haircut with rounded crown volume and separated longer lower layers,haircut hairstyle length
Haircuts & Lengths,Core Cuts,hime cut,"hime haircut with long lengths, blunt side locks, and defined fringe",haircut hairstyle length
Haircuts & Lengths,Core Cuts,pageboy cut,pageboy haircut with rounded smooth shape and tucked-under perimeter,haircut hairstyle length
Haircuts & Lengths,Core Cuts,shoulder-length cut,hair cut to approximately shoulder level,haircut hairstyle length
Haircuts & Lengths,Core Cuts,collarbone-length cut,hair ending around the collarbones,haircut hairstyle length
Haircuts & Lengths,Core Cuts,bra-strap length hair,long hair extending to approximately bra-strap level,haircut hairstyle length
Haircuts & Lengths,Core Cuts,mid-back length hair,hair extending to the middle of the back,haircut hairstyle length
Haircuts & Lengths,Core Cuts,waist-length hair,very long hair extending to approximately waist level,haircut hairstyle length
Haircuts & Lengths,Core Cuts,hip-length hair,extremely long hair extending to approximately hip level,haircut hairstyle length
Hair Texture,Texture,pin-straight hair,pin-straight hair with smooth aligned strands and minimal bend,hair texture curl wave straight coily
Hair Texture,Texture,straight hair,straight hair with natural strand separation and subtle movement,hair texture curl wave straight coily
Hair Texture,Texture,slightly wavy hair,hair with a gentle loose wave pattern,hair texture curl wave straight coily
Hair Texture,Texture,loose waves,loose flowing waves with broad soft bends,hair texture curl wave straight coily
Hair Texture,Texture,beach waves,relaxed beach-wave texture with irregular soft S-curves,hair texture curl wave straight coily
Hair Texture,Texture,defined waves,defined wavy texture with visible repeating S-patterns,hair texture curl wave straight coily
Hair Texture,Texture,body waves,large soft body waves with polished volume,hair texture curl wave straight coily
Hair Texture,Texture,soft curls,soft curls with broad rounded curl formation,hair texture curl wave straight coily
Hair Texture,Texture,loose curls,loose curls with large relaxed spirals,hair texture curl wave straight coily
Hair Texture,Texture,medium curls,medium-sized curls with clear spring and volume,hair texture curl wave straight coily
Hair Texture,Texture,tight curls,tight curls with smaller springy curl diameter,hair texture curl wave straight coily
Hair Texture,Texture,ringlets,defined spiral ringlets with clear individual curl separation,hair texture curl wave straight coily
Hair Texture,Texture,coily hair,coily hair with dense springy natural curl pattern,hair texture curl wave straight coily
