Major Category,Subcategory,Keyword,Prompt-Ready Phrase,Tags
Base Eye Colors,Base Tone,dark brown eyes,dark-brown eyes with deep rich iris coloration,eye color iris
Eye Color Details,Base + Detail,"dark brown eyes, with dark limbal ring","dark-brown eyes with deep rich iris coloration, a clearly visible dark limbal ring around the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"dark brown eyes, with subtle limbal ring","dark-brown eyes with deep rich iris coloration, a soft limbal ring around the iris edge",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"dark brown eyes, with golden flecks","dark-brown eyes with deep rich iris coloration, small golden flecks visible inside the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"dark brown eyes, with radial streaks","dark-brown eyes with deep rich iris coloration, fine radial streaks visible through the iris pattern",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"dark brown eyes, with central heterochromia","dark-brown eyes with deep rich iris coloration, a contrasting inner ring of color near the pupil",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"dark brown eyes, with multitone iris pattern","dark-brown eyes with deep rich iris coloration, multiple distinct color notes blended across the iris",eye color iris detail limbal heterochromia
Base Eye Colors,Base Tone,brown eyes,brown eyes with clear medium-to-deep iris coloration,eye color iris
Eye Color Details,Base + Detail,"brown eyes, with dark limbal ring","brown eyes with clear medium-to-deep iris coloration, a clearly visible dark limbal ring around the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"brown eyes, with subtle limbal ring","brown eyes with clear medium-to-deep iris coloration, a soft limbal ring around the iris edge",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"brown eyes, with golden flecks","brown eyes with clear medium-to-deep iris coloration, small golden flecks visible inside the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"brown eyes, with radial streaks","brown eyes with clear medium-to-deep iris coloration, fine radial streaks visible through the iris pattern",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"brown eyes, with central heterochromia","brown eyes with clear medium-to-deep iris coloration, a contrasting inner ring of color near the pupil",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"brown eyes, with multitone iris pattern","brown eyes with clear medium-to-deep iris coloration, multiple distinct color notes blended across the iris",eye color iris detail limbal heterochromia
Base Eye Colors,Base Tone,light brown eyes,light-brown eyes with lighter caramel-toned iris coloration,eye color iris
Eye Color Details,Base + Detail,"light brown eyes, with dark limbal ring","light-brown eyes with lighter caramel-toned iris coloration, a clearly visible dark limbal ring around the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"light brown eyes, with subtle limbal ring","light-brown eyes with lighter caramel-toned iris coloration, a soft limbal ring around the iris edge",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"light brown eyes, with golden flecks","light-brown eyes with lighter caramel-toned iris coloration, small golden flecks visible inside the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"light brown eyes, with radial streaks","light-brown eyes with lighter caramel-toned iris coloration, fine radial streaks visible through the iris pattern",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"light brown eyes, with central heterochromia","light-brown eyes with lighter caramel-toned iris coloration, a contrasting inner ring of color near the pupil",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"light brown eyes, with multitone iris pattern","light-brown eyes with lighter caramel-toned iris coloration, multiple distinct color notes blended across the iris",eye color iris detail limbal heterochromia
Base Eye Colors,Base Tone,amber eyes,amber eyes with warm golden honey-like iris coloration,eye color iris
Eye Color Details,Base + Detail,"amber eyes, with dark limbal ring","amber eyes with warm golden honey-like iris coloration, a clearly visible dark limbal ring around the iris",eye color iris detail limbal heterochromia
