Major Category,Subcategory,Keyword,Prompt-Ready Phrase,Tags
Core Facial Expressions,Core Affect,neutral expression,relaxed neutral expression with minimal facial muscle activation,expression emotion face
Core Facial Expressions,Core Affect,soft relaxed smile,soft relaxed smile with gently raised mouth corners and calm eyes,expression emotion face
Core Facial Expressions,Core Affect,closed-mouth smile,closed-mouth smile with upward lip corners and subtle cheek lift,expression emotion face
Core Facial Expressions,Core Affect,small smile,small understated smile with restrained cheek activation,expression emotion face
Core Facial Expressions,Core Affect,warm smile,warm genuine smile with cheek lift and softened eyes,expression emotion face
Core Facial Expressions,Core Affect,big smile,broad smile with strong cheek lift and visible positive energy,expression emotion face
Core Facial Expressions,Core Affect,toothy smile,open smile showing upper teeth naturally,expression emotion face
Core Facial Expressions,Core Affect,full grin,wide grin with visible teeth and pronounced cheek lift,expression emotion face
Core Facial Expressions,Core Affect,laughing,"genuine laughter with open mouth, lifted cheeks, and naturally narrowed eyes",expression emotion face
Core Facial Expressions,Core Affect,quiet chuckle,small chuckling expression with softened eyes and restrained open-mouth smile,expression emotion face
Core Facial Expressions,Core Affect,surprised,"surprised expression with raised brows, widened eyes, and slightly open mouth",expression emotion face
Core Facial Expressions,Core Affect,pleasant surprise,"positive surprise with raised brows, widened eyes, and emerging smile",expression emotion face
Core Facial Expressions,Core Affect,shocked,"strong shock response with high brows, widened eyes, and open mouth",expression emotion face
Core Facial Expressions,Core Affect,confused,confused expression with uneven brow tension and questioning gaze,expression emotion face
Core Facial Expressions,Core Affect,skeptical,skeptical expression with one brow subtly raised and lips held in restrained uncertainty,expression emotion face
Core Facial Expressions,Core Affect,suspicious,"suspicious expression with narrowed eyes, slight brow lowering, and guarded mouth",expression emotion face
Core Facial Expressions,Core Affect,focused,"focused expression with steady gaze, slight brow engagement, and relaxed mouth",expression emotion face
Core Facial Expressions,Core Affect,concentrating,concentrated expression with mild brow draw and fixed visual attention,expression emotion face
Core Facial Expressions,Core Affect,determined,"determined expression with firm gaze, subtly set jaw, and controlled brow tension",expression emotion face
Core Facial Expressions,Core Affect,serious,serious expression with level gaze and minimal smiling,expression emotion face
Core Facial Expressions,Core Affect,annoyed,"annoyed expression with mild brow lowering, compressed lips, and narrowed eyes",expression emotion face
Core Facial Expressions,Core Affect,angry,"angry expression with lowered drawn brows, tightened eyelids, and firm mouth",expression emotion face
Core Facial Expressions,Core Affect,furious,"intense anger with strongly lowered brows, tense jaw, and high facial muscle activation",expression emotion face
Core Facial Expressions,Core Affect,sad,"sad expression with inner brows slightly raised, softened eyes, and downturned mouth corners",expression emotion face
Core Facial Expressions,Core Affect,disappointed,"disappointed expression with lowered gaze, subdued mouth, and mild inner-brow lift",expression emotion face
Core Facial Expressions,Core Affect,worried,"worried expression with raised inner brows, tense eyes, and slightly parted lips",expression emotion face
Core Facial Expressions,Core Affect,anxious,"anxious expression with visible brow tension, alert eyes, and restrained mouth tension",expression emotion face
Core Facial Expressions,Core Affect,fearful,"fearful expression with raised drawn brows, widened eyes, and tense parted lips",expression emotion face
Core Facial Expressions,Core Affect,disgusted,"disgust expression with raised upper lip, nose wrinkling, and lowered brow tension",expression emotion face
Core Facial Expressions,Core Affect,embarrassed,"embarrassed expression with shy smile, slight gaze avoidance, and cheek tension",expression emotion face
Core Facial Expressions,Core Affect,bashful,"bashful expression with small smile, lowered gaze, and gentle head inclination",expression emotion face
Core Facial Expressions,Core Affect,proud,"proud expression with lifted chin, restrained smile, and confident eyes",expression emotion face
Core Facial Expressions,Core Affect,confident,confident expression with steady direct gaze and subtle controlled smile,expression emotion face
Core Facial Expressions,Core Affect,playful,"playful expression with lively eyes, subtle brow movement, and teasing half-smile",expression emotion face
Core Facial Expressions,Core Affect,mischievous,mischievous expression with knowing half-smile and slightly narrowed lively eyes,expression emotion face
Core Facial Expressions,Core Affect,teasing,teasing expression with asymmetric smile and playful eye contact,expression emotion face
Core Facial Expressions,Core Affect,smirk,asymmetric smirk with one mouth corner raised,expression emotion face
Core Facial Expressions,Core Affect,half-smile,subtle half-smile with one side of the mouth slightly more active,expression emotion face
Core Facial Expressions,Core Affect,pout,soft pout with lips gently projected forward,expression emotion face
Core Facial Expressions,Core Affect,mock pout,playful exaggerated pout without distress,expression emotion face
Core Facial Expressions,Core Affect,eye roll,eyes rolling upward with mildly exasperated facial tension,expression emotion face
Core Facial Expressions,Core Affect,side-eye,"eyes shifted sideways while head remains mostly forward, conveying skeptical attention",expression emotion face
Core Facial Expressions,Core Affect,caught off guard,brief unprepared expression with widened attention and partially formed mouth response,expression emotion face
Core Facial Expressions,Core Affect,daydreaming,distant relaxed gaze with softened facial muscles,expression emotion face
Core Facial Expressions,Core Affect,curious,curious expression with slightly raised brows and attentive eyes,expression emotion face
Core Facial Expressions,Core Affect,amused,amused expression with restrained smile and brightened eyes,expression emotion face
Core Facial Expressions,Core Affect,relieved,"relieved expression with reduced brow tension, softened eyes, and a small exhale-like smile",expression emotion face
Core Facial Expressions,Core Affect,impressed,"impressed expression with lifted brows, attentive eyes, and an approving mouth response",expression emotion face
Core Facial Expressions,Core Affect,unimpressed,"unimpressed expression with low facial activation, flat mouth, and mildly narrowed eyes",expression emotion face
Expression + Head Position,Expression Pose,"neutral expression, head level","relaxed neutral expression with minimal facial muscle activation, head held level, keeping the expression readable and anatomically natural",facial expression head angle
Expression + Head Position,Expression Pose,"neutral expression, chin slightly down","relaxed neutral expression with minimal facial muscle activation, chin lowered subtly, keeping the expression readable and anatomically natural",facial expression head angle
Expression + Head Position,Expression Pose,"neutral expression, chin slightly raised","relaxed neutral expression with minimal facial muscle activation, chin elevated subtly, keeping the expression readable and anatomically natural",facial expression head angle
Expression + Head Position,Expression Pose,"neutral expression, head tilted left","relaxed neutral expression with minimal facial muscle activation, head tilted slightly toward the left shoulder, keeping the expression readable and anatomically natural",facial expression head angle
Expression + Head Position,Expression Pose,"neutral expression, head tilted right","relaxed neutral expression with minimal facial muscle activation, head tilted slightly toward the right shoulder, keeping the expression readable and anatomically natural",facial expression head angle
Expression + Head Position,Expression Pose,"neutral expression, head turned slightly left","relaxed neutral expression with minimal facial muscle activation, head rotated slightly left, keeping the expression readable and anatomically natural",facial expression head angle
Expression + Head Position,Expression Pose,"neutral expression, head turned slightly right","relaxed neutral expression with minimal facial muscle activation, head rotated slightly right, keeping the expression readable and anatomically natural",facial expression head angle
Expression + Head Position,Expression Pose,"soft relaxed smile, head level","soft relaxed smile with gently raised mouth corners and calm eyes, head held level, keeping the expression readable and anatomically natural",facial expression head angle
Expression + Head Position,Expression Pose,"soft relaxed smile, chin slightly down","soft relaxed smile with gently raised mouth corners and calm eyes, chin lowered subtly, keeping the expression readable and anatomically natural",facial expression head angle
Expression + Head Position,Expression Pose,"soft relaxed smile, chin slightly raised","soft relaxed smile with gently raised mouth corners and calm eyes, chin elevated subtly, keeping the expression readable and anatomically natural",facial expression head angle
Expression + Head Position,Expression Pose,"soft relaxed smile, head tilted left","soft relaxed smile with gently raised mouth corners and calm eyes, head tilted slightly toward the left shoulder, keeping the expression readable and anatomically natural",facial expression head angle
Expression + Head Position,Expression Pose,"soft relaxed smile, head tilted right","soft relaxed smile with gently raised mouth corners and calm eyes, head tilted slightly toward the right shoulder, keeping the expression readable and anatomically natural",facial expression head angle
Expression + Head Position,Expression Pose,"soft relaxed smile, head turned slightly left","soft relaxed smile with gently raised mouth corners and calm eyes, head rotated slightly left, keeping the expression readable and anatomically natural",facial expression head angle
Expression + Head Position,Expression Pose,"soft relaxed smile, head turned slightly right","soft relaxed smile with gently raised mouth corners and calm eyes, head rotated slightly right, keeping the expression readable and anatomically natural",facial expression head angle
Expression + Head Position,Expression Pose,"closed-mouth smile, head level","closed-mouth smile with upward lip corners and subtle cheek lift, head held level, keeping the expression readable and anatomically natural",facial expression head angle
Expression + Head Position,Expression Pose,"closed-mouth smile, chin slightly down","closed-mouth smile with upward lip corners and subtle cheek lift, chin lowered subtly, keeping the expression readable and anatomically natural",facial expression head angle
Expression + Head Position,Expression Pose,"closed-mouth smile, chin slightly raised","closed-mouth smile with upward lip corners and subtle cheek lift, chin elevated subtly, keeping the expression readable and anatomically natural",facial expression head angle
Expression + Head Position,Expression Pose,"closed-mouth smile, head tilted left","closed-mouth smile with upward lip corners and subtle cheek lift, head tilted slightly toward the left shoulder, keeping the expression readable and anatomically natural",facial expression head angle
Expression + Head Position,Expression Pose,"closed-mouth smile, head tilted right","closed-mouth smile with upward lip corners and subtle cheek lift, head tilted slightly toward the right shoulder, keeping the expression readable and anatomically natural",facial expression head angle
Expression + Head Position,Expression Pose,"closed-mouth smile, head turned slightly left","closed-mouth smile with upward lip corners and subtle cheek lift, head rotated slightly left, keeping the expression readable and anatomically natural",facial expression head angle
